MODEL,PRICE,KM,MFG YEAR,VEHICLE COLOR,FUEL TYPE,VEHICLE TYPE
JAZZ V CVT,952000,33000,2020,MODERN STEEL METALLIC,PETROL,AMT
JAZZ V CVT,717000,75000,2016,GOLDEN BROWN METALLIC,PETROL,AMT
JAZZ ZX,937000,56000,2019,REDIANT RED METALLIC,PETROL,MANUAL
JAZZ ZX,852000,67000,2018,WHITE ORCHID PEARL,PETROL,MANUAL
JAZZ ZX,767000,59000,2017,LUNAR SILVER METALLIC,PETROL,MANUAL
JAZZ ZX,727000,75000,2016,MODERN STEEL METALLIC,PETROL,MANUAL
JAZZ ZX,977000,28000,2020,GOLDEN BROWN METALLIC,PETROL,MANUAL
JAZZ VX CVT,857000,67000,2018,REDIANT RED METALLIC,PETROL,AMT
JAZZ VX CVT,977000,54000,2019,WHITE ORCHID PEARL,PETROL,AMT
JAZZ VX CVT,728000,77000,2016,LUNAR SILVER METALLIC,PETROL,AMT
JAZZ VX CVT,758000,75000,2017,MODERN STEEL METALLIC,PETROL,AMT
JAZZ VX CVT,727000,77000,2020,GOLDEN BROWN METALLIC,PETROL,AMT
JAZZ ZX CVT,817000,78000,2016,REDIANT RED METALLIC,PETROL,AMT
JAZZ ZX CVT,1017000,83000,2019,WHITE ORCHID PEARL,PETROL,AMT
JAZZ ZX CVT,857000,78000,2017,LUNAR SILVER METALLIC,PETROL,AMT
JAZZ ZX CVT,1077000,41000,2020,MODERN STEEL METALLIC,PETROL,AMT
JAZZ ZX CVT,947000,64000,2018,GOLDEN BROWN METALLIC,PETROL,AMT
CR-V 2.0 CVT,3417000,49000,2020,REDIANT RED METALLIC,PETROL,AMT
CR-V 2.0 CVT,3247000,71000,2017,WHITE ORCHID PEARL,PETROL,AMT
CR-V 2.0 CVT,3377000,60000,2019,MODERN STEEL METALLIC,PETROL,AMT
CR-V 2.0 CVT,3317000,67000,2018,GOLDEN BROWN METALLIC,PETROL,AMT
CR-V 2.0 CVT,3117000,76000,2016,RADIANT RED METALLIC,PETROL,AMT
CR-V 2.0 CVT,3427000,47000,2020,LUNAR SILVER,PETROL,AMT
CR-V SPECIAL EDITION,3267000,79000,2016,REDIANT RED METALLIC,PETROL,AMT
CR-V SPECIAL EDITION,3357000,56000,2018,WHITE ORCHID PEARL,PETROL,AMT
CR-V SPECIAL EDITION,3277000,71000,2017,MODERN STEEL METALLIC,PETROL,AMT
CR-V SPECIAL EDITION,3558000,40000,2020,GOLDEN BROWN METALLIC,PETROL,AMT
CR-V SPECIAL EDITION,3227000,61000,2018,RADIANT RED METALLIC,PETROL,AMT
CR-V SPECIAL EDITION,3457000,58000,2019,LUNAR SILVER,PETROL,AMT
CITY SV MT,753000,75000,2015,REDIANT RED METALLIC,PETROL,MANUAL
CITY SV MT,918000,28000,2020,WHITE ORCHID PEARL,PETROL,MANUAL
CITY SV MT,911000,68000,2018,MODERN STEEL METALLIC,PETROL,MANUAL
CITY SV MT,818000,72000,2016,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY SV MT,857000,52000,2017,LUNAR SILVER,PETROL,MANUAL
CITY V MT,958000,70000,2018,REDIANT RED METALLIC,PETROL,MANUAL
CITY V MT,1023000,29000,2019,WHITE ORCHID PEARL,PETROL,MANUAL
CITY V MT,1038000,31000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
CITY V MT,838000,68000,2015,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY V MT,938000,55000,2017,LUNAR SILVER,PETROL,MANUAL
CITY V MT,928000,70000,2016,PLATINUM WHITE PEARL,PETROL,MANUAL
CITY V MT,1048000,65000,2017,REDIANT RED METALLIC,PETROL,MANUAL
CITY V MT,1193000,24000,2020,LUNAR SILVER METALLIC,PETROL,MANUAL
CITY V MT,958000,54000,2015,MODERN STEEL METALLIC,PETROL,MANUAL
CITY V MT,1128000,48000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY V CVT,1228000,68000,2016,PLATINUM WHITE PEARL,PETROL,AMT
CITY V CVT,1378000,28000,2020,REDIANT RED METALLIC,PETROL,AMT
CITY V CVT,1331000,39000,2020,LUNAR SILVER METALLIC,PETROL,AMT
CITY V CVT,1277000,51000,2018,MODERN STEEL METALLIC,PETROL,AMT
CITY V CVT,1258000,52000,2017,GOLDEN BROWN METALLIC,PETROL,AMT
CITY VX MT,1361000,35000,2020,PLATINUM WHITE PEARL,PETROL,MANUAL
CITY VX MT,1248000,55000,2018,REDIANT RED METALLIC,PETROL,MANUAL
CITY VX MT,1328000,45000,2019,LUNAR SILVER METALLIC,PETROL,MANUAL
CITY VX MT,978000,64000,2016,MODERN STEEL METALLIC,PETROL,MANUAL
CITY VX MT,949000,68000,2015,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY V MT DIESEL,988000,67000,2016,PLATINUM WHITE PEARL,DIESEL,MANUAL
CITY V MT DIESEL,1348000,42000,2019,REDIANT RED METALLIC,DIESEL,MANUAL
CITY V MT DIESEL,1278000,46000,2018,LUNAR SILVER METALLIC,DIESEL,MANUAL
CITY V MT DIESEL,1228000,55000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
CITY V MT DIESEL,1363000,36000,2020,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CITY ZX MT,1428000,51000,2019,PLATINUM WHITE PEARL,PETROL,MANUAL
CITY ZX MT,1348000,52000,2018,REDIANT RED METALLIC,PETROL,MANUAL
CITY ZX MT,1178000,66000,2016,LUNAR SILVER METALLIC,PETROL,MANUAL
CITY ZX MT,1488000,26000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
CITY ZX MT,1148000,74000,2015,GOLDEN BROWN METALLIC,PETROL,MANUAL
CITY VX CVT,1513000,24000,2020,PLATINUM WHITE PEARL,PETROL,AMT
CITY VX CVT,1188000,74000,2015,REDIANT RED METALLIC,PETROL,AMT
CITY VX CVT,1348000,67000,2018,LUNAR SILVER METALLIC,PETROL,AMT
CITY VX CVT,1378000,64000,2019,MODERN STEEL METALLIC,PETROL,AMT
CITY VX CVT,1248000,61000,2017,GOLDEN BROWN METALLIC,PETROL,AMT
CITY VX MT DIESEL,1318000,70000,2017,PLATINUM WHITE PEARL,DIESEL,MANUAL
CITY VX MT DIESEL,1413000,59000,2018,REDIANT RED METALLIC,DIESEL,MANUAL
CITY VX MT DIESEL,1278000,72000,2016,LUNAR SILVER METALLIC,DIESEL,MANUAL
CITY VX MT DIESEL,1558000,24000,2020,MODERN STEEL METALLIC,DIESEL,MANUAL
CITY VX MT DIESEL,1428000,55000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CITY ZX CVT,1598000,26000,2020,PLATINUM WHITE PEARL,PETROL,AMT
CITY ZX CVT,1288000,74000,2016,REDIANT RED METALLIC,PETROL,AMT
CITY ZX CVT,1363000,59000,2018,LUNAR SILVER METALLIC,PETROL,AMT
CITY ZX CVT,1468000,67000,2017,MODERN STEEL METALLIC,PETROL,AMT
CITY ZX CVT,1489000,56000,2019,GOLDEN BROWN METALLIC,PETROL,AMT
CITY ZX MT DIESEL,1578000,52000,2019,PLATINUM WHITE PEARL,DIESEL,MANUAL
CITY ZX MT DIESEL,1628000,29000,2020,REDIANT RED METALLIC,DIESEL,MANUAL
CITY ZX MT DIESEL,1328000,78000,2016,LUNAR SILVER METALLIC,DIESEL,MANUAL
CITY ZX MT DIESEL,1378000,71000,2016,MODERN STEEL METALLIC,DIESEL,MANUAL
CITY ZX MT DIESEL,1428000,65000,2017,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE E PETROL,539000,45000,2019,SILVER,PETROL,MANUAL
AMAZE E PETROL,428000,68000,2016,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE E PETROL,378000,74000,2015,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE E PETROL,478000,64000,2017,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE E PETROL,623000,38000,2020,RADIANT RED,PETROL,MANUAL
AMAZE E PETROL,518000,45000,2018,LUNAR SILVER,PETROL,MANUAL
AMAZE S PETROL,713000,38000,2020,SILVER,PETROL,MANUAL
AMAZE S PETROL,853000,58000,2018,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE S PETROL,678000,52000,2019,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE S PETROL,428000,73000,2015,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE S PETROL,478000,67000,2016,RADIANT RED,PETROL,MANUAL
AMAZE S PETROL,628000,65000,2017,LUNAR SILVER,PETROL,MANUAL
AMAZE SPECIAL EDITION,648000,65000,2017,SILVER,PETROL,MANUAL
AMAZE SPECIAL EDITION,748000,38000,2020,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE SPECIAL EDITION,448000,75000,2015,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE SPECIAL EDITION,413000,51000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE SPECIAL EDITION,488000,67000,2016,RADIANT RED,PETROL,MANUAL
AMAZE SPECIAL EDITION,668000,55000,2018,LUNAR SILVER,PETROL,MANUAL
AMAZE V PETROL,669000,71000,2017,SILVER,PETROL,MANUAL
AMAZE V PETROL,778000,35000,2020,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE V PETROL,738000,52000,2019,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE V PETROL,513000,75000,2016,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE V PETROL,468000,78000,2015,RADIANT RED,PETROL,MANUAL
AMAZE V PETROL,688000,58000,2018,LUNAR SILVER,PETROL,MANUAL
AMAZE E DIESEL,748000,53000,2019,SILVER,DIESEL,MANUAL
AMAZE E DIESEL,528000,76000,2016,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE E DIESEL,807000,34000,2020,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE E DIESEL,678000,70000,2017,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE E DIESEL,478000,75000,2015,RADIANT RED,DIESEL,MANUAL
AMAZE E DIESEL,713000,59000,2018,LUNAR SILVER,DIESEL,MANUAL
AMAZE S CVT PETROL,817000,75000,2016,SILVER,PETROL,AMT
AMAZE S CVT PETROL,778000,52000,2019,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE S CVT PETROL,748000,36000,2020,MODERN STEEL METALLIC,PETROL,AMT
AMAZE S CVT PETROL,723000,60000,2018,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE S CVT PETROL,528000,78000,2015,RADIANT RED,PETROL,AMT
AMAZE S CVT PETROL,706000,71000,2017,LUNAR SILVER,PETROL,AMT
AMAZE SPECIAL EDITION CVT,548000,74000,2015,SILVER,PETROL,AMT
AMAZE SPECIAL EDITION CVT,828000,51000,2019,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE SPECIAL EDITION CVT,743000,57000,2018,MODERN STEEL METALLIC,PETROL,AMT
AMAZE SPECIAL EDITION CVT,868000,24000,2020,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE SPECIAL EDITION CVT,638000,68000,2016,RADIANT RED,PETROL,AMT
AMAZE SPECIAL EDITION CVT,728000,66000,2017,LUNAR SILVER,PETROL,AMT
AMAZE EXCLUSIVE EDITION PETROL,748000,61000,2019,SILVER,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL,758000,78000,2018,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL,878000,38000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL,738000,72000,2017,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL,847000,81000,2016,RADIANT RED,PETROL,MANUAL
AMAZE EXCLUSIVE EDITION PETROL,588000,85000,2015,LUNAR SILVER,PETROL,MANUAL
AMAZE VX PETROL,648000,64000,2017,SILVER,PETROL,MANUAL
AMAZE VX PETROL,579000,75000,2016,ORCHID WHITE PEARL ,PETROL,MANUAL
AMAZE VX PETROL,728000,60000,2018,MODERN STEEL METALLIC,PETROL,MANUAL
AMAZE VX PETROL,848000,54000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
AMAZE VX PETROL,526000,84000,2015,RADIANT RED,PETROL,MANUAL
AMAZE VX PETROL,858000,36000,2020,LUNAR SILVER,PETROL,MANUAL
AMAZE S DIESEL,888000,38000,2020,SILVER,DIESEL,MANUAL
AMAZE S DIESEL,551000,72000,2015,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE S DIESEL,648000,71000,2016,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE S DIESEL,848000,50000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE S DIESEL,818000,53000,2018,RADIANT RED,DIESEL,MANUAL
AMAZE S DIESEL,768000,66000,2017,LUNAR SILVER,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL,918000,34000,2020,SILVER,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL,658000,68000,2017,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL,597000,74000,2015,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL,878000,47000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL,788000,55000,2018,RADIANT RED,DIESEL,MANUAL
AMAZE  SPECIAL EDITION DIESEL,618000,70000,2016,LUNAR SILVER,DIESEL,MANUAL
AMAZE V CVT PETROL,883000,46000,2019,SILVER,PETROL,AMT
AMAZE V CVT PETROL,548000,64000,2015,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE V CVT PETROL,628000,62000,2018,MODERN STEEL METALLIC,PETROL,AMT
AMAZE V CVT PETROL,688000,55000,2017,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE V CVT PETROL,793000,50000,2019,RADIANT RED,PETROL,AMT
AMAZE V CVT PETROL,928000,28000,2020,LUNAR SILVER,PETROL,AMT
AMAZE V DIESEL,878000,52000,2019,SILVER,DIESEL,MANUAL
AMAZE V DIESEL,918000,38000,2020,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE V DIESEL,628000,71000,2015,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE V DIESEL,678000,67000,2016,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE V DIESEL,758000,53000,2017,RADIANT RED,DIESEL,MANUAL
AMAZE V DIESEL,848000,52000,2018,LUNAR SILVER,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION CVT PETROL,778000,63000,2017,SILVER,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL,878000,56000,2018,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL,938000,44000,2019,MODERN STEEL METALLIC,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL,678000,76000,2018,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL,718000,71000,2016,RADIANT RED,PETROL,AMT
AMAZE EXCLUSIVE EDITION CVT PETROL,958000,30000,2020,LUNAR SILVER,PETROL,AMT
AMAZE VX CVT PETROL,978000,37000,2020,SILVER,PETROL,AMT
AMAZE VX CVT PETROL,958000,49000,2019,ORCHID WHITE PEARL ,PETROL,AMT
AMAZE VX CVT PETROL,928000,61000,2018,MODERN STEEL METALLIC,PETROL,AMT
AMAZE VX CVT PETROL,688000,71000,2015,GOLDEN BROWN METALLIC,PETROL,AMT
AMAZE VX CVT PETROL,788000,63000,2017,RADIANT RED,PETROL,AMT
AMAZE VX CVT PETROL,728000,64000,2016,LUNAR SILVER,PETROL,AMT
AMAZE S CVT DIESEL,793000,55000,2017,SILVER,DIESEL,AMT
AMAZE S CVT DIESEL,938000,52000,2018,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE S CVT DIESEL,706000,74000,2015,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE S CVT DIESEL,988000,35000,2020,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE S CVT DIESEL,748000,68000,2016,RADIANT RED,DIESEL,AMT
AMAZE S CVT DIESEL,967000,46000,2019,LUNAR SILVER,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL,758000,68000,2016,SILVER,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL,848000,65000,2017,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL,918000,56000,2018,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL,718000,720000,2015,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL,1034000,26000,2020,RADIANT RED,DIESEL,AMT
AMAZE SPECIAL EDITION CVT DIESEL,948000,48000,2019,LUNAR SILVER,DIESEL,AMT
AMAZE EXCLUSIVE EDITION DIESEL,778000,74000,2016,SILVER,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL,1059000,34000,2020,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL,848000,68000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL,928000,56000,2018,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL,1058000,40000,2020,RADIANT RED,DIESEL,MANUAL
AMAZE EXCLUSIVE EDITION DIESEL,958000,48000,2019,LUNAR SILVER,DIESEL,MANUAL
AMAZE VX DIESEL,913000,57000,2018,SILVER,DIESEL,MANUAL
AMAZE VX DIESEL,988000,38000,2020,ORCHID WHITE PEARL ,DIESEL,MANUAL
AMAZE VX DIESEL,838000,63000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
AMAZE VX DIESEL,938000,52000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
AMAZE VX DIESEL,748000,67000,2016,RADIANT RED,DIESEL,MANUAL
AMAZE VX DIESEL,718000,72000,2015,LUNAR SILVER,DIESEL,MANUAL
AMAZE V CVT DIESEL,1038000,35000,2020,SILVER,DIESEL,AMT
AMAZE V CVT DIESEL,1048000,28000,2020,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE V CVT DIESEL,923000,55000,2018,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE V CVT DIESEL,948000,49000,2019,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE V CVT DIESEL,723000,67000,2015,RADIANT RED,DIESEL,AMT
AMAZE V CVT DIESEL,838000,57000,2017,LUNAR SILVER,DIESEL,AMT
AMAZE V CVT DIESEL,768000,62000,2016,SILVER,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL,1088000,34000,2020,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL,948000,60000,2018,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL,1053000,48000,2019,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL,778000,68000,2017,RADIANT RED,DIESEL,AMT
AMAZE EXCLUSIVE EDITION CVT DIESEL,728000,70000,2016,LUNAR SILVER,DIESEL,AMT
AMAZE VX CVT DIESEL,778000,61000,2016,SILVER,DIESEL,AMT
AMAZE VX CVT DIESEL,928000,27000,2019,ORCHID WHITE PEARL ,DIESEL,AMT
AMAZE VX CVT DIESEL,848000,70000,2017,MODERN STEEL METALLIC,DIESEL,AMT
AMAZE VX CVT DIESEL,728000,77000,2015,GOLDEN BROWN METALLIC,DIESEL,AMT
AMAZE VX CVT DIESEL,1048000,43000,2020,RADIANT RED,DIESEL,AMT
AMAZE VX CVT DIESEL,878000,55000,2018,LUNAR SILVER,DIESEL,AMT
CIVIC V,1848000,52000,2018,PLATINUM WHITE PEARL,PETROL,AMT
CIVIC V,1778000,65000,2017,MODERN STEEL METALLIC,PETROL,AMT
CIVIC V,1728000,68000,2016,GOLDEN BROWN METALLIC,PETROL,AMT
CIVIC V,2018000,54000,2019,RADIANT RED METALLIC,PETROL,AMT
CIVIC V,2128000,34000,2018,LUNAR SILVER,PETROL,AMT
CIVIC VX ,1977000,75000,2016,PLATINUM WHITE PEARL,PETROL,AMT
CIVIC VX ,2148000,54000,2018,MODERN STEEL METALLIC,PETROL,AMT
CIVIC VX ,1966000,78000,2015,GOLDEN BROWN METALLIC,PETROL,AMT
CIVIC VX ,2318000,51000,2019,RADIANT RED METALLIC,PETROL,AMT
CIVIC VX ,2148000,54000,2018,LUNAR SILVER,PETROL,AMT
CIVIC VX ,2028000,71000,2017,PLATINUM WHITE PEARL,DIESEL,MANUAL
CIVIC VX DIESEL,2418000,64000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
CIVIC VX DIESEL,2547000,36000,2020,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CIVIC VX DIESEL,2516000,49000,2019,RADIANT RED METALLIC,DIESEL,MANUAL
CIVIC VX DIESEL,2577000,24000,2020,LUNAR SILVER,DIESEL,MANUAL
CIVIC VX DIESEL,2458000,54000,2018,PLATINUM WHITE PEARL,PETROL,AMT
CIVIC ZX,2478000,44000,2018,MODERN STEEL METALLIC,PETROL,AMT
CIVIC ZX,2548000,41000,2019,GOLDEN BROWN METALLIC,PETROL,AMT
CIVIC ZX,2428000,50000,2017,RADIANT RED METALLIC,PETROL,AMT
CIVIC ZX,2588000,37000,2020,LUNAR SILVER,PETROL,AMT
CIVIC ZX DIESEL,2418000,68000,2016,PLATINUM WHITE PEARL,DIESEL,MANUAL
CIVIC ZX DIESEL,2548000,64000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
CIVIC ZX DIESEL,2678000,45000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
CIVIC ZX DIESEL,2726000,38000,2020,RADIANT RED METALLIC,DIESEL,MANUAL
CIVIC ZX DIESEL,2578000,61000,2018,LUNAR SILVER,DIESEL,MANUAL
WR-V SV,618000,71000,2017,REDIANT RED METALLIC,PETROL,MANUAL
WR-V SV,858000,48000,2019,WHITE ORCHID PEARL,PETROL,MANUAL
WR-V SV,878000,41000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
WR-V SV,618000,71000,2017,GOLDEN BROWN METALLIC,PETROL,MANUAL
WR-V SV,728000,59000,2018,PREMIUM AMBER,PETROL,MANUAL
WR-V SV,578000,78000,2016,LUNAR SILVER,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL,828000,63000,2017,REDIANT RED METALLIC,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL,818000,72000,2017,WHITE ORCHID PEARL,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL,1018000,42000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL,928000,61000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL,778000,73000,2016,PREMIUM AMBER,PETROL,MANUAL
WR-V EXCLUSIVE EDITION PETROL,848000,67000,2018,LUNAR SILVER,PETROL,MANUAL
WR-V VX,748000,77000,2016,REDIANT RED METALLIC,PETROL,MANUAL
WR-V VX,939000,52000,2019,WHITE ORCHID PEARL,PETROL,MANUAL
WR-V VX,928000,63000,2018,MODERN STEEL METALLIC,PETROL,MANUAL
WR-V VX,788000,58000,2017,GOLDEN BROWN METALLIC,PETROL,MANUAL
WR-V VX,923000,68000,2018,PREMIUM AMBER,PETROL,MANUAL
WR-V VX,1055000,48000,2020,LUNAR SILVER,PETROL,MANUAL
WR-V SV DIESEL,773000,68000,2017,REDIANT RED METALLIC,DIESEL,MANUAL
WR-V SV DIESEL,948000,55000,2019,WHITE ORCHID PEARL,DIESEL,MANUAL
WR-V SV DIESEL,1068000,47000,2020,MODERN STEEL METALLIC,DIESEL,MANUAL
WR-V SV DIESEL,728000,77000,2015,GOLDEN BROWN METALLIC,DIESEL,MANUAL
WR-V SV DIESEL,753000,70000,2016,PREMIUM AMBER,DIESEL,MANUAL
WR-V SV DIESEL,838000,54000,2018,LUNAR SILVER,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL,1018000,68000,2017,REDIANT RED METALLIC,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL,1128000,57000,2018,WHITE ORCHID PEARL,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL,918000,81000,2015,MODERN STEEL METALLIC,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL,1278000,49000,2019,GOLDEN BROWN METALLIC,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL,1253000,40000,2020,PREMIUM AMBER,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL,948000,74000,2016,LUNAR SILVER,DIESEL,MANUAL
WR-V VX DIESEL,948000,67000,2017,REDIANT RED METALLIC,DIESEL,MANUAL
WR-V VX DIESEL,1128000,49000,2019,WHITE ORCHID PEARL,DIESEL,MANUAL
WR-V VX DIESEL,1018000,57000,2018,MODERN STEEL METALLIC,DIESEL,MANUAL
WR-V VX DIESEL,928000,72000,2016,GOLDEN BROWN METALLIC,DIESEL,MANUAL
WR-V VX DIESEL,1178000,28000,2020,PREMIUM AMBER,DIESEL,MANUAL
WR-V VX DIESEL,818000,76000,2015,LUNAR SILVER,DIESEL,MANUAL
JAZZ V,578000,70000,2017,REDIANT RED METALLIC,PETROL,MANUAL
JAZZ V,518000,72000,2016,WHITE ORCHID PEARL,PETROL,MANUAL
JAZZ V,638000,68000,2018,LUNAR SILVER METALLIC,PETROL,MANUAL
JAZZ V,758000,61000,2019,MODERN STEEL METALLIC,PETROL,MANUAL
JAZZ V,848000,41000,2020,GOLDEN BROWN METALLIC,PETROL,MANUAL
JAZZ VX,548000,71000,2016,REDIANT RED METALLIC,PETROL,MANUAL
JAZZ VX,768000,50000,2019,WHITE ORCHID PEARL,PETROL,MANUAL
JAZZ VX,858000,40000,2020,LUNAR SILVER METALLIC,PETROL,MANUAL
JAZZ VX,619000,67000,2017,MODERN STEEL METALLIC,PETROL,MANUAL
JAZZ VX,659000,59000,2018,GOLDEN BROWN METALLIC,PETROL,MANUAL
JAZZ V CVT,848000,63000,2018,REDIANT RED METALLIC,PETROL,AMT
JAZZ V CVT,758000,62000,2017,WHITE ORCHID PEARL,PETROL,AMT
JAZZ V CVT,828000,60000,2019,LUNAR SILVER METALLIC,PETROL,AMT
JAZZ V CVT,953000,34000,2020,MODERN STEEL METALLIC,PETROL,AMT
JAZZ V CVT,718000,76000,2016,GOLDEN BROWN METALLIC,PETROL,AMT
JAZZ ZX,768000,60000,2017,REDIANT RED METALLIC,PETROL,MANUAL
JAZZ ZX,853000,68000,2018,WHITE ORCHID PEARL,PETROL,MANUAL
JAZZ ZX,938000,57000,2019,LUNAR SILVER METALLIC,PETROL,MANUAL
JAZZ ZX,728000,76000,2016,MODERN STEEL METALLIC,PETROL,MANUAL
JAZZ ZX,978000,29000,2020,GOLDEN BROWN METALLIC,PETROL,MANUAL
JAZZ VX CVT,759000,76000,2017,REDIANT RED METALLIC,PETROL,AMT
JAZZ VX CVT,729000,78000,2016,WHITE ORCHID PEARL,PETROL,AMT
JAZZ VX CVT,978000,55000,2019,LUNAR SILVER METALLIC,PETROL,AMT
JAZZ VX CVT,858000,68000,2019,MODERN STEEL METALLIC,PETROL,AMT
JAZZ VX CVT,728000,78000,2020,GOLDEN BROWN METALLIC,PETROL,AMT
JAZZ ZX CVT,858000,79000,2017,REDIANT RED METALLIC,PETROL,AMT
